2016-05-19 13:55:55,249 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-19 13:56:01,028 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egov3:egov3:1.0.0 @ D:\egov3.5\eGovFrameDev-3.5.1-32bit\workspace\egov3\pom.xml.
2016-05-19 13:56:04,976 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /egov3/src/main/java
2016-05-19 13:56:04,976 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /egov3/src/main/resources
2016-05-19 13:56:04,984 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /egov3/src/test/java
2016-05-19 13:56:04,984 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /egov3/src/test/resources
2016-05-19 13:56:05,220 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egov3:egov3:1.0.0 @ D:\egov3.5\eGovFrameDev-3.5.1-32bit\workspace\egov3\pom.xml.
2016-05-19 13:56:08,666 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egov3:egov3:1.0.0 @ D:\egov3.5\eGovFrameDev-3.5.1-32bit\workspace\egov3\pom.xml.
2016-05-19 13:56:09,806 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for egov3
2016-05-19 13:56:09,840 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 14 sec
2016-05-19 13:56:11,756 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egov3:egov3:1.0.0 @ D:\egov3.5\eGovFrameDev-3.5.1-32bit\workspace\egov3\pom.xml.
2016-05-19 13:56:11,957 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 13:56:11,990 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 13:56:11,992 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 13:56:12,011 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
